pair,method,seed,run_dir,status,wall_seconds,wall_minutes
qwen3_0.6b_to_minilm_h384,cdm,42,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_0.6b_to_minilm_h384/cdm/seed_42,complete,1865.5322318887338,31.09220386481223
qwen3_0.6b_to_minilm_h384,emo,43,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_0.6b_to_minilm_h384/emo/seed_43,complete,16287.57019018475,271.4595031697458
qwen3_0.6b_to_minilm_h384,cdm,43,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_0.6b_to_minilm_h384/cdm/seed_43,complete,2133.2100274069235,35.55350045678206
qwen3_0.6b_to_minilm_h384,cdm,44,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_0.6b_to_minilm_h384/cdm/seed_44,complete,2640.157870756462,44.00263117927437
bge_m3_to_minilm_h768,cdm,42,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/bge_m3_to_minilm_h768/cdm/seed_42,complete,2058.2726919399574,34.30454486566596
bge_m3_to_minilm_h768,cdm,43,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/bge_m3_to_minilm_h768/cdm/seed_43,complete,1667.2033448675647,27.786722414459412
bge_m3_to_minilm_h768,cdm,44,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/bge_m3_to_minilm_h768/cdm/seed_44,complete,1699.909816388972,28.331830273149535
qwen3_0.6b_to_minilm_h384,dskd,42,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_0.6b_to_minilm_h384/dskd/seed_42,complete,507.3524929918349,8.455874883197248
qwen3_0.6b_to_minilm_h384,dskd,43,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_0.6b_to_minilm_h384/dskd/seed_43,complete,546.3193955151364,9.105323258585607
qwen3_0.6b_to_minilm_h384,dskd,44,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_0.6b_to_minilm_h384/dskd/seed_44,complete,618.2107635047287,10.30351272507881
bge_m3_to_minilm_h768,dskd,42,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/bge_m3_to_minilm_h768/dskd/seed_42,complete,454.65840810351074,7.5776401350585125
bge_m3_to_minilm_h768,dskd,43,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/bge_m3_to_minilm_h768/dskd/seed_43,complete,458.4786897469312,7.641311495782187
bge_m3_to_minilm_h768,dskd,44,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/bge_m3_to_minilm_h768/dskd/seed_44,complete,465.20964509248734,7.753494084874789
qwen3_0.6b_to_minilm_h384,stella,43,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_0.6b_to_minilm_h384/stella/seed_43,complete,925.0862909071147,15.418104848451913
qwen3_0.6b_to_minilm_h384,stella,44,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_0.6b_to_minilm_h384/stella/seed_44,complete,925.8595427190885,15.430992378651474
bge_m3_to_minilm_h768,stella,42,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/bge_m3_to_minilm_h768/stella/seed_42,complete,652.3222327139229,10.872037211898714
bge_m3_to_minilm_h768,stella,43,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/bge_m3_to_minilm_h768/stella/seed_43,complete,628.2579869162291,10.47096644860382
bge_m3_to_minilm_h768,stella,44,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/bge_m3_to_minilm_h768/stella/seed_44,complete,639.166331035085,10.652772183918083
qwen3_0.6b_to_minilm_h384,emo,42,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_0.6b_to_minilm_h384/emo/seed_42,complete,30808.967902243137,513.4827983707189
qwen3_0.6b_to_minilm_h384,emo,44,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_0.6b_to_minilm_h384/emo/seed_44,complete,31321.064955028705,522.0177492504785
bge_m3_to_minilm_h768,emo,43,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/bge_m3_to_minilm_h768/emo/seed_43,complete,40133.924899247475,668.8987483207912
bge_m3_to_minilm_h768,emo,44,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/bge_m3_to_minilm_h768/emo/seed_44,complete,35702.47351008188,595.0412251680314
qwen3_4b_to_bert_base,emo,42,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_4b_to_bert_base/emo/seed_42,complete,19992.989542873576,333.21649238122626
qwen3_4b_to_bert_base,emo,43,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_4b_to_bert_base/emo/seed_43,complete,20448.260974172503,340.8043495695417
qwen3_4b_to_bert_base,cdm,42,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_4b_to_bert_base/cdm/seed_42,complete,1904.2553652059287,31.73758942009881
qwen3_4b_to_bert_base,cdm,43,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_4b_to_bert_base/cdm/seed_43,complete,1950.3142333412543,32.50523722235424
qwen3_4b_to_bert_base,cdm,44,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_4b_to_bert_base/cdm/seed_44,complete,1892.1231252821162,31.535385421368606
qwen3_4b_to_bert_base,dskd,42,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_4b_to_bert_base/dskd/seed_42,complete,1008.4416665807366,16.807361109678943
qwen3_4b_to_bert_base,dskd,43,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_4b_to_bert_base/dskd/seed_43,complete,1084.736021751538,18.078933695858964
qwen3_4b_to_bert_base,dskd,44,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_4b_to_bert_base/dskd/seed_44,complete,1154.1661921544,19.236103202573336
qwen3_4b_to_bert_base,stella,42,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_4b_to_bert_base/stella/seed_42,complete,1406.9186656912789,23.448644428187983
qwen3_4b_to_bert_base,stella,43,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_4b_to_bert_base/stella/seed_43,complete,1388.5758666414768,23.14293111069128
qwen3_4b_to_bert_base,stella,44,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_4b_to_bert_base/stella/seed_44,complete,1214.2937529487535,20.23822921581256
qwen3_4b_to_bert_base,emo,44,/home/tensara/projects/embedding-kd/runs/main_results_h200_gpu2_20260903-1650/qwen3_4b_to_bert_base/emo/seed_44,complete,14631.615380057134,243.86025633428557
