pair,method,seed,wall_minutes,train_gpu_minutes,mean_step_ms,samples_per_second,peak_memory_gib,started_at,finished_at,execution_mode,cuda_visible_devices,concurrent_on_same_gpu
bge_m3_to_minilm_h768,cdm,42,34.30454486566596,33.5511599899292,502.3620609445978,254.69902639335606,2.1578922271728516,2026-09-03T15:05:34.524332+00:00,2026-09-03T15:39:52.797556+00:00,parallel,2,True
bge_m3_to_minilm_h768,cdm,43,27.786722414459412,27.18254114405314,407.032691504304,314.35098578118976,2.157054901123047,2026-09-03T15:35:11.228119+00:00,2026-09-03T16:02:58.431866+00:00,parallel,3,True
bge_m3_to_minilm_h768,cdm,44,28.331830273149535,27.664289981587725,414.10411224747656,308.9829925260023,2.146848678588867,2026-09-03T15:39:52.798295+00:00,2026-09-03T16:08:12.708695+00:00,parallel,2,True
bge_m3_to_minilm_h768,dskd,42,7.5776401350585125,6.578893428357443,97.81688338067,1308.0679264908354,2.2275733947753906,2026-09-03T16:17:19.030980+00:00,2026-09-03T16:24:53.689834+00:00,parallel,2,True
bge_m3_to_minilm_h768,dskd,43,7.641311495782187,6.5884691370646165,98.23377710786977,1302.5166250000414,2.218914031982422,2026-09-03T16:21:43.999110+00:00,2026-09-03T16:29:22.478388+00:00,parallel,3,True
bge_m3_to_minilm_h768,dskd,44,7.753494084874789,6.838767479070028,101.95785354002376,1254.9413642699078,2.2301597595214844,2026-09-03T16:24:53.690580+00:00,2026-09-03T16:32:38.900803+00:00,parallel,2,True
bge_m3_to_minilm_h768,emo,42,215.93948453683407,215.23393334960934,3226.12105293752,39.66098163087958,2.167266845703125,2026-09-03T10:22:59.407659+00:00,2026-09-03T13:58:55.777120+00:00,parallel,2,True
bge_m3_to_minilm_h768,emo,43,668.8987483207912,668.0618954732258,10037.678584308673,12.74708357563546,2.154855728149414,2026-09-03T11:30:05.376498+00:00,2026-09-03T22:38:59.302196+00:00,parallel,1,True
bge_m3_to_minilm_h768,emo,44,595.0412251680314,594.2317331258138,8929.4173900327,14.329168660250106,2.159872055053711,2026-09-03T13:34:27.453546+00:00,2026-09-03T23:29:29.927833+00:00,parallel,1,True
bge_m3_to_minilm_h768,talas,42,7.404640058195218,6.801647546259562,101.86306451974359,1256.109154214075,0.8564114570617676,2026-09-03T12:11:37.374513+00:00,2026-09-03T12:19:01.653400+00:00,parallel,1,True
bge_m3_to_minilm_h768,talas,43,7.187523602818449,6.669146359125773,99.82928035803009,1281.6993908066045,0.8689846992492676,2026-09-03T12:19:01.654480+00:00,2026-09-03T12:26:12.906386+00:00,parallel,1,True
bge_m3_to_minilm_h768,talas,44,6.768687987234443,6.135456689325967,91.84172940170556,1393.1698439595448,0.8511147499084473,2026-09-03T12:26:12.907013+00:00,2026-09-03T12:32:59.028767+00:00,parallel,1,True
bge_m3_to_minilm_h768,geoode,42,3.684177669153238,2.2527108572642005,33.62235926386706,3805.5368695394945,1.071873664855957,2026-09-03T10:22:43.330505+00:00,2026-09-03T10:26:24.382151+00:00,parallel,3,True
bge_m3_to_minilm_h768,geoode,43,3.167281792374949,2.0562823086420696,30.66317498056512,4172.794497003218,1.088353157043457,2026-09-03T11:34:33.021095+00:00,2026-09-03T11:37:43.058816+00:00,parallel,1,True
bge_m3_to_minilm_h768,geoode,44,3.3436297228559853,2.146940325895945,32.0098713164939,3997.2396812985244,1.072880744934082,2026-09-03T11:37:43.059466+00:00,2026-09-03T11:41:03.677968+00:00,parallel,1,True
qwen3_4b_to_bert_base,rkd,42,4.975967579629893,4.281818185615539,63.87573899099402,2003.12559730368,1.7424097061157227,2026-09-03T13:19:32.659280+00:00,2026-09-03T13:24:31.217869+00:00,parallel,1,True
qwen3_4b_to_bert_base,rkd,43,4.994019309881454,4.340751729011536,64.79601056665406,1974.676013238943,1.7639894485473633,2026-09-03T13:24:31.218896+00:00,2026-09-03T13:29:30.860568+00:00,parallel,1,True
qwen3_4b_to_bert_base,rkd,44,4.943169552708666,4.291599756431579,63.978379439351556,1999.9119849673657,1.7172365188598633,2026-09-03T13:29:30.861584+00:00,2026-09-03T13:34:27.452357+00:00,parallel,1,True
qwen3_4b_to_bert_base,stella,42,23.448644428187983,22.318675099690754,334.1055133752655,382.9662268273761,9.305591583251953,2026-09-04T01:47:46.573408+00:00,2026-09-04T02:11:13.492864+00:00,parallel,2,False
